fishnet_id,date,day_of_year,latitude,longitude,forest_area,region_ci,nsr_numerical_code,ffmc_interpolated,logit,probability
1713,2014-05-22,142,57.916,-115.157,High Level Forest Area,West Boreal,1,0.0,-12.62540512261,3.287417e-06
1714,2014-05-22,142,57.9161,-114.9882,High Level Forest Area,West Boreal,1,0.0,-13.706390517947,1.115295e-06
1715,2014-05-22,142,57.916,-114.8193,High Level Forest Area,West Boreal,1,0.0,-13.135424543532,1.974044e-06
1716,2014-05-22,142,57.9156,-114.6505,High Level Forest Area,West Boreal,1,0.0,-14.05107984233,7.9012e-07
1717,2014-05-22,142,57.915,-114.4816,High Level Forest Area,West Boreal,1,0.0,-13.073210020944,2.100758e-06
1718,2014-05-22,142,57.9142,-114.3128,High Level Forest Area,West Boreal,1,0.0,-13.544222754288,1.311651e-06
1719,2014-05-22,142,57.9132,-114.144,High Level Forest Area,West Boreal,1,0.0,-12.787722912836,2.794868e-06
1720,2014-05-22,142,57.912,-113.9752,High Level Forest Area,East Boreal,1,0.0,-13.558816452757,1.292648e-06
1771,2014-05-22,142,57.8075,-117.1769,High Level Forest Area,West Boreal,2,0.0,-11.028567020658,1.623107e-05
1772,2014-05-22,142,57.8103,-117.0087,High Level Forest Area,West Boreal,2,0.0,-11.448871885241,1.0661382e-05
1773,2014-05-22,142,57.8129,-116.8404,High Level Forest Area,West Boreal,2,0.0,-12.724158934752,2.978288e-06
1774,2014-05-22,142,57.8152,-116.6721,High Level Forest Area,West Boreal,2,0.0,-11.948079358948,6.471609e-06
1775,2014-05-22,142,57.8173,-116.5038,High Level Forest Area,West Boreal,2,0.0,-12.895213483997,2.51003e-06
1776,2014-05-22,142,57.8192,-116.3355,High Level Forest Area,West Boreal,6,0.0,-13.878609473725,9.3885e-07
1777,2014-05-22,142,57.8209,-116.1671,High Level Forest Area,West Boreal,21,0.0,-14.036214262569,8.01954e-07
1778,2014-05-22,142,57.8223,-115.9987,High Level Forest Area,West Boreal,21,0.0,-14.274721996568,6.31781e-07
1779,2014-05-22,142,57.8235,-115.8303,High Level Forest Area,West Boreal,21,0.0,-12.679468123921,3.114409e-06
1780,2014-05-22,142,57.8245,-115.6619,High Level Forest Area,West Boreal,6,0.0,-11.495186468811,1.0178869e-05
1781,2014-05-22,142,57.8253,-115.4935,High Level Forest Area,West Boreal,1,0.0,-10.414607960458,2.9990258e-05
1782,2014-05-22,142,57.8258,-115.3251,High Level Forest Area,West Boreal,1,0.0,-9.869914256588,5.1704488e-05
1783,2014-05-22,142,57.8261,-115.1566,High Level Forest Area,West Boreal,1,0.0,-13.173579646244,1.900143e-06
1784,2014-05-22,142,57.8262,-114.9882,High Level Forest Area,West Boreal,1,0.0,-12.732464106819,2.953655e-06
1785,2014-05-22,142,57.8261,-114.8198,High Level Forest Area,West Boreal,1,0.0,-14.17947698543,6.94914e-07
1786,2014-05-22,142,57.8257,-114.6514,High Level Forest Area,West Boreal,1,0.0,-14.095099885202,7.56094e-07
1787,2014-05-22,142,57.8252,-114.4829,High Level Forest Area,West Boreal,1,0.0,-13.8589354529,9.57504e-07
1788,2014-05-22,142,57.8244,-114.3145,High Level Forest Area,West Boreal,1,0.0,-13.204240241552,1.842767e-06
1789,2014-05-22,142,57.8234,-114.1461,High Level Forest Area,West Boreal,1,0.0,-12.890687686702,2.521415e-06
1790,2014-05-22,142,57.8221,-113.9777,High Level Forest Area,East Boreal,1,0.0,-12.779592481041,2.817684e-06
1841,2014-05-22,142,57.7177,-117.1715,High Level Forest Area,West Boreal,2,0.0,-8.352619165436,0.000235722589
1842,2014-05-22,142,57.7205,-117.0037,High Level Forest Area,West Boreal,2,0.0,-9.791026312563,5.5948314e-05
1843,2014-05-22,142,57.7231,-116.8358,High Level Forest Area,West Boreal,2,0.0,-13.26895188032,1.727296e-06
1844,2014-05-22,142,57.7254,-116.668,High Level Forest Area,West Boreal,2,0.0,-12.367504394539,4.254605e-06
1845,2014-05-22,142,57.7275,-116.5001,High Level Forest Area,West Boreal,2,0.0,-11.480055949178,1.033405e-05
1846,2014-05-22,142,57.7294,-116.3321,High Level Forest Area,West Boreal,6,0.0,-13.690621867607,1.133021e-06
1847,2014-05-22,142,57.731,-116.1642,High Level Forest Area,West Boreal,6,0.0,-13.640289924834,1.191508e-06
1848,2014-05-22,142,57.7324,-115.9962,High Level Forest Area,West Boreal,6,0.0,-14.360398903605,5.79906e-07
1849,2014-05-22,142,57.7337,-115.8283,High Level Forest Area,West Boreal,6,0.0,-14.02957358148,8.07297e-07
1850,2014-05-22,142,57.7346,-115.6603,High Level Forest Area,West Boreal,21,0.0,-12.772641764274,2.837337e-06
1851,2014-05-22,142,57.7354,-115.4923,High Level Forest Area,West Boreal,6,0.0,-9.058443692494,0.000116390448
1852,2014-05-22,142,57.736,-115.3243,High Level Forest Area,West Boreal,1,0.0,-10.958069506405,1.7416598e-05
